GROUP_INTRO|COMPANY|JOB_POSTING_URL|TITLE_IMG|BENEFITS|RECRUIT_DEADLINE|TITLE|PREFERENTIAL|MAINDUTIES|WORKING_AREA|LOGO_IMG|JOB_GROUP|QUALIFICATION|ID
"에어스메디컬은 헬스케어 시장의 패러다임을 바꾸는 의료AI 솔루션을 개발, 공급하는 스타트업입니다. 접근성과 생산성이 낮은 의료서비스들을 중심으로 누구나 필요로 하고 원할 때 의료서비스를 누릴 수 있도록 정체된 시장에 인공지능을 활용한 기술혁신으로 새 활력을 불어넣고 있습니다.

에어스메디컬에는 각 분야 최고 수준의 역량과 열정을 겸비한 인재들이 모여 상호 신뢰를 바탕으로 자유롭게 하지만 책임감 있게 일하고 있습니다. 사회에 파급력 있는 난제를 최고의 동료들과 함께 풀어가는 그 자체가 설레고 성장동력이 되는 동료들을 기다립니다.

보다 상세한 사항은 회사 홈페이지 및 노션 페이지 참고 바랍니다."|에어스메디컬|https://www.wanted.co.kr/wd/194370|https://static.wanted.co.kr/images/company/20995/aaxnsi3gvmg8bsok__1080_790.jpg|"• 자유로운 유연근무제
 - 개발 인원: 재량근로시간제 또는 선택적근로시간제
 - 비개발 인원: 6am-10pm 사이 자유롭게 출퇴근하는 선택적근로시간제 (월단위 정산)
• 원할때 승인없이 쓸 수 있는 휴가
• 학회 참석 및 교육비, 도서 구매 지원
• 원하는 간식과 커피 제공"|2024-01-02|[100억↑투자] Electrical Engineer|"• 로봇 시스템을 직접 설계하고 제작해 본 경험이 있으신 분
• 단위 부품에서부터 전체 시스템 레벨까지 테스트를 주도적으로 진행해본 경험이 있으신 분
• 의료기기에 대한 관심이 높으신 분"|"• 의료 로봇 시스템의 전력 설계 및 배선(하네스)
• 전자 부품의 단위/모듈/통합 테스트(테스트 엔지니어링)
• 기구 설계 보조
• 재고 관리 및 구매 관리"|강남구 테헤란로 223, 13층, 14층|https://static.wanted.co.kr/images/wdes/0_4.0db473b8.jpg|513|"• 기본적인 공학도 마인드
• 책임감 및 꼼꼼함
• 빠른 대응"|194370
당사의 성장과 함께하실 인재를 모집하니 많은 지원 부탁 드립니다.|이엘피|https://www.wanted.co.kr/wd/193678|https://static.wanted.co.kr/images/company/42345/utanej1ejbggy84d__1080_790.jpg|"• 웰컴키트 지급
• 시차출근제 운영
• 단체 상해보험 가입
• 콘도/리조트 이용권"|2023-12-29|기구설계(JIG)|"• ERP 사용 가능자
• 2D, 3D Tool(솔리드웍) 사용 능숙자
• 고객 대응 가능자(고객사 Samsung, LG 등 업무 경험 우대)"|"• JIG 설계(개발)
• 제작검토, 사양확인, 사양서, 제안서 작성
• 고객대응(사양미팅 등)"|경기 화성시 삼성1로2길 29|https://static.wanted.co.kr/images/wdes/0_4.f76b95d8.jpg|513|"• 학력 : 학력무관
• 경력 : 3 ~ 10년
• 기구 설계 및 개발 경력 3년 이상 (JIG류 설계 경력 우대)
• 고용 형태 : 정규직
• 근무 지역 : 경기 화성시
• 근무 요일/시간 : 주5일(월~금) | 09:00 ~ 18:00"|193678
당사의 성장과 함께하실 인재를 모집하니 많은 지원 부탁 드립니다.|이엘피|https://www.wanted.co.kr/wd/193674|https://static.wanted.co.kr/images/company/42345/utanej1ejbggy84d__1080_790.jpg|"• 웰컴키트 지급
• 시차출근제 운영
• 단체 상해보험 가입
• 콘도/리조트 이용권"|2023-12-21|자동화설비설계담당|• 반도체 및 디스플레이 자동화 설비 설계 경험자|• 자동화 설비 설계|경기 화성시 삼성1로2길 29|https://static.wanted.co.kr/images/wdes/0_4.f76b95d8.jpg|513|"• 학력 : 초대졸이상
• 경력 : 5 ~ 10년
• 전공 : 기계공학/기계설계 등 설계 관련 전공자
• Solidworks 및 Auto Cad 가능자
• 해외 여행에 결격이 없는 자
• 고용 형태 : 정규직(수습 3개월)
• 근무 지역 : 경기 화성시
• 근무 요일/시간 : 주5일(월~금) | 09:00 ~ 18:00"|193674
당사의 성장과 함께하실 인재를 모집하니 많은 지원 부탁 드립니다.|이엘피|https://www.wanted.co.kr/wd/193670|https://static.wanted.co.kr/images/company/42345/utanej1ejbggy84d__1080_790.jpg|"• 웰컴키트 지급
• 시차출근제 운영
• 단체 상해보험 가입
• 콘도/리조트 이용권"|2023-12-21|자동화설비설계담당 (부장급)|• 반도체 및 디스플레이 자동화 설비 설계 경험자|• 자동화 설비 설계|경기 화성시 삼성1로2길 29|https://static.wanted.co.kr/images/wdes/0_4.f76b95d8.jpg|513|"• 학력 : 초대졸이상
• 경력 : 15 ~ 20년
• 차~부장급 채용
• 전공 : 기계공학/기계설계 등 설계 관련 전공자
• Solidworks 및 Auto Cad 가능자
• 해외 여행에 결격이 없는 자
• 고용 형태 : 정규직
• 근무 지역 : 경기 화성시
• 근무 요일/시간 : 주5일(월~금) | 09:00 ~ 18:00"|193670
"넥서스커뮤니티는 사람을 이어주는 디지털창조자를 꿈꾸며 1991년 설립 이후, 대한민국 최고의 콜센터 CTI Middleware를 개발하여 국내 시장의 리더가 되었으며, 기업 콜센터 생산성 향상 및 콜센터 이용 고객의 만족을 실현한 기술력을 바탕으로 IPT, UC 및 차세대 신기술 시장을 개척해 나가고 있습니다.

[기업비전]
Core Value를 통해 선제적 현식, 긍정적 책임, 전문적 탐구, 상호간 존중이라는 넥서스만의 가치를 실현하고자 합니다. 핵심 CS 솔루션 역량을 확보와 플랫폼 확장을 위한 파트너쉽 강화를 통하여 사람과 기술을 연결하는 최고의 CX Plarform Leader 의 비전을 실현하고자 합니다.

[기업문화]
넥서스커뮤니티는 대기업 수준의 선진기업문화를 구축하여 다니고 싶은 기업으로 손꼽히고 있습니다. 직원을 위한 다양한 복지시설과 복지문화 및 성장을 위한 혜택이 제공됩니다."|넥서스커뮤니티|https://www.wanted.co.kr/wd/193355|https://static.wanted.co.kr/images/company/18889/y2pzvnkmlcx98xq7__1080_790.jpg|"집에 가기 싫어질 걸!
• 자체 복지포인트제도 운영
• 자기계발비 연간 최대 240만원 지원
• 교통비, 대리운전, 식대, 통신비 지원
• 회식비, 부서운영비 지원
• 사내동호회, 여직원모임 직원
• 개인사물함, 원두커피머신, 휴게공간 제공

힐링해야 일을 하지!
• 매년 전직원 휴가 숙소비 20만원
• 3/5/7/10/15/20년 근속 시, 최대 포상휴가 15일과 여행지원금 200만원

건강은 회사가 챙긴다!
• 매주 월요일 10시 출근
• 매년 20만원 상당 종합건강검진 지원
• 체력단련비 지원

가족이 더 좋아해요!
• 자녀 입학 축하금 및 학자금 지원
• 각종 경조사는 기본
• 명절상여금, 생일, 결혼기념일, 출산 축하 선물
• 가족 초청행사 패밀리데이 운영

한강보며 일한다!
• 한강뷰 맛집 파크원 사옥
• 더현대/IFC 백세권과 여의도공원 공세권에 위치"||시스템 엔지니어 (PM, SE, SM)|"• 고객센터(콜센터) 관련 인프라(PBX, IVR, 녹취 등) 운영 및 구축 경험자 우대
• 고객센터(콜센터) PM 구축 경험자 우대
• STT, TA 관련 솔루션 구축 및 운영 경험자 우대
• VoIP 및 SIP 경험자 우대
• 네트워크 운영, 유지보수 관련 지식(방화벽 등) 보유자 우대
• OS(Linux) 및 DB(oracle, mariadb) 운영, 유지보수 관련 지식 보유자 우대
• 해외 출장 및 업무 가능자 우대"|• 시스템 엔지니어 (PM, SE, SM)|서울시 영등포구 여의대로 108 파크원 타워2 19F|https://static.wanted.co.kr/images/wdes/0_4.5d999d41.jpg|513|• 경험자 우대 /학력 무관/신입 가능|193355
"(주)아이오바이오는 조기진단 데이터 기반 헬스케어 서비스 사업을 하고있습니다.
2022년 코넥스(KONEX)시장 상장 완료(12월말) 후 2024년 해외시장개발 및 신사업추진 등 기업성장 과정에 함께하고 바이오헬스산업을 혁신할 인재를 모십니다.

질병과 환자, 병원과 개인을 연결하는 진단장비와 소프트웨어 플랫폼을 제공합니다.
핵심 구성은 세가지로 형광검사 큐레이로 조기 진단검사, 임상적 결정 지원 시스템 CDSS로 질병예후 예측, 위험도 평가기반 CRM LINKDENS 로 환자관리 경영분석을 합니다. 
이것을 활용해 소비자와 의료진, 병원의 핵심가치를 연결하는 의료정보 융합 서비스입니다.

아이오바이오는 큐레이 기술기반 구강질환 의료기기를 제조해 국내외에 공급하고 있습니다.
이것을 활용한 ""정량광형광기를 이용한 치아우식증 검사""가 2021년 6월부터 국민건강보험 수가를 받는 의료행위로 결정되어 치과의료기관에서 도입을 확대하고 있습니다. 
또한 치과 병·의원에서 얻어지는 정보와 가정에서 얻어지는 구강관리에 대한 정보를 연결하고 축적된 데이터를 토대로 '환자와 병원을 이어주는 구강건강 플랫폼, LINKDENS' 를 서비스합니다.
㈜아이오바이오는 구강건강증진을 위해 Qray로 진단하고 LINKDENS로 관리하여 Data Dentistry를 구현합니다."|아이오바이오|https://www.wanted.co.kr/wd/193338|https://static.wanted.co.kr/images/company/8423/xe3sw1kry98og3my__1080_790.jpg|"• 근무형태 : 정규직(수습 3개월, 급여는100%책정)
• 급여 : 연봉제, 회사내규에 따름 (면접 후 결정)
• 스톡옵션제도 운영 중
• 근무지 : 서울특별시 강남역 근처 (4번출구 걸어서 5분)
• 근무요일 : 주 5일
• 출퇴근 시간 선택제 운영 : 기준 근무시간 09시~18시 
• 4대보험, 경조사 및 장기근속 시 휴가나 지원금 지원
• 연차 자율 사용
• 업무 관련 도서구매나 교육활동 비용 지원"|2023-12-31|의료 소프트웨어 인허가 담당 기업부설연구소|"• 미국혁신의료기기 평가에 대한 이해와 유관 경험이 있는 분
• FDA 510(k) template 작성 및 등록 경험이 있는 분
• IEC 62304: 2006/AMD:2015 표준에 대한 지식이 있는 분 (DHF) 
• ISO 14971 표준에 대한 지식이 있는 분 (위험관리) 
• IEC 62366-1 (사용적합성) 에 대한 지식이 있는 분
• IEC 80001-2-2:2012(SW Cyber Security Risk Management)에 대한 지식이 있는 분(사이버 보안 위험관리) 
• 유연한 사고와 새로운 것을 배우는 것에 두려움이 없으신 분"|"• 주요업무 : 국내외 소프트웨어 의료기기 인허가 관련 대응 및 기술문서 작성
• 혁신의료기기(소프트웨어) 인허가 준비 및 실행
• TTA 소프트웨어 인허가 업무
• 소프트웨어 기획/개발 과정 참여-의료기기, 혁신의료기기 인허가 사항 반영
• 국내외 의료기기 규제 동향 파악
• 국내 식약처 대관 업무"|서울시 강남구 테헤란로4길 38|https://static.wanted.co.kr/images/wdes/0_4.638483f6.jpg|513|"• 학력 : 초대졸이상
• 경력 : 5 ~ 10년
• 소프트웨어 의료기기, 체외진단 의료기기, 의료기기 등에서 RA실무 업무 경험 있으신 분
• AI, SaMD, SiMD 또는 PACS에 대한 이해가 있는 분
• 국내외 의료기기 인허가담당(RA) 경험해보신 분
• 기술문서 작성 경험자
• 영문문서 작성에 어려움이 없으신 분
• 비지니스 영어 가능자(회화는 능통하지 않아도 가능)
• 고용 형태 : 정규직(수습 3개월)
• 근무 지역 : 서울 강남구
• 근무 요일/시간 : 주5일(월~금)"|193338
"아이오바이오는 조기진단 데이터 기반 헬스케어 서비스 사업을 하고있습니다.
2022년 코넥스(KONEX)시장 상장 완료(12월말) 후 2024년 해외시장개발 및 신사업추진 등 기업성장 과정에 함께하고 바이오헬스산업을 혁신할 인재를 모십니다.

질병과 환자, 병원과 개인을 연결하는 진단장비와 소프트웨어 플랫폼을 제공합니다.
핵심 구성은 세가지로 형광검사 큐레이로 조기 진단검사, 임상적 결정 지원 시스템 CDSS로 질병예후 예측, 위험도 평가기반 CRM LINKDENS 로 환자관리 경영분석을 합니다. 
이것을 활용해 소비자와 의료진, 병원의 핵심가치를 연결하는 의료정보 융합 서비스입니다.

아이오바이오는 큐레이 기술기반 구강질환 의료기기를 제조해 국내외에 공급하고 있습니다.
이것을 활용한 ""정량광형광기를 이용한 치아우식증 검사""가 2021년 6월부터 국민건강보험 수가를 받는 의료행위로 결정되어 치과의료기관에서 도입을 확대하고 있습니다. 
또한 치과 병·의원에서 얻어지는 정보와 가정에서 얻어지는 구강관리에 대한 정보를 연결하고 축적된 데이터를 토대로 '환자와 병원을 이어주는 구강건강 플랫폼, LINKDENS' 를 서비스합니다.
아이오바이오는 구강건강증진을 위해 Qray로 진단하고 LINKDENS로 관리하여 Data Dentistry를 구현합니다."|아이오바이오|https://www.wanted.co.kr/wd/193333|https://static.wanted.co.kr/images/company/8423/xe3sw1kry98og3my__1080_790.jpg|"• 근무형태 : 정규직(수습 3개월, 급여는100%책정)
• 급여 : 연봉제, 회사내규에 따름 (면접 후 결정)
• 스톡옵션제도 운영 중
• 근무지 : 서울특별시 강남역 근처 (4번출구 걸어서 5분)
• 근무요일 : 주 5일
• 출퇴근 시간 선택제 운영 : 기준 근무시간 09시~18시 
• 4대보험, 경조사 및 장기근속 시 휴가나 지원금 지원
• 연차 자율 사용
• 업무 관련 도서구매나 교육활동 비용 지원"|2023-12-31|의료기기 인허가 담당 기업부설연구소|"• ISO 13485를 포함한 QMS에 대한 이해도 보유자
• 국내시험인증기관(KCL, KTR, KTC 등) 또는 해외시험인증기관 한국지사 (Nemko Korea 등) 업무경력 보유자
• 유연한 사고와 새로운 것을 배우는 것에 두려움이 없으신 분"|"• 주요업무 : 의료기기 국내외 허가 획득 및 유지 관리
• 미국 FDA 510k, 중국 NMPA, 기타 해외국가의 의료기기 해외 인허가
• 기술문서 작성 및 관리 (국내 및 해외) 
• 인허가 심사대응 및 사후관리
• 국내외 규격 등 모니터링"|서울시 강남구 테헤란로4길 38|https://static.wanted.co.kr/images/wdes/0_4.638483f6.jpg|513|"• 학력 : 초대졸이상
• 경력 : 5 ~ 10년
• 의료기기, 체외진단 의료기기, 소프트웨어 의료기기 분야에서 RA실무 업무 경험 있으신 분
• 전자의료기기 국내외 인허가 경험자 (해외 경험 필수)
• ISO 13485, GMP 경험자
• 의료기기 제조업체 인허가 경력 필수
• CE MDD 기준 TCF 작성 경험 또는 역량
• 비지니스 영어 가능자 (회화는 능통하지 않아도 가능)

• 고용 형태 : 정규직(수습 3개월)
• 근무 지역 : 서울 강남구
• 근무 요일/시간 : 주5일(월~금)"|193333
"■ About Bigwaverobotics
빅웨이브로보틱스는 대한민국 최초이자 유일한 로봇 자동화 AI 추천 플랫폼 서비스, ‘마로솔’을 개발한 스타트업입니다. ‘마로솔’은 로봇 소비자의 진입 장벽을 낮추고, 로봇 제조사의 고민까지 덜어주는 필수 중개 플랫폼으로 자리잡아 초고속 성장을 이루고 있습니다.
‘마로솔’의 자체 로봇 솔루션 ‘SOLink’- 즉각적인 문제의 원격 해결과 로봇 종합 제어 관리의 해결책을 마련해 시장 경쟁력을 제고합니다. 경쟁력과 성장 가능성으로 무장한 파도에 열정을 함께할 분을 찾습니다.

다양한 제조사의 로봇을 합리적인 가격과 맞춤 솔루션까지 매칭시켜주는 유일무이한 로봇 플랫폼, ‘마로솔’의 서비스를 빛나게 해주세요.
설립 후 단 3년만에 놀라운 성장을 이룬 Team Bigwave의 일원이 되어 로봇 시장의 큰 파도를 함께 일으키고 싶습니다.

빅웨이브로보틱스는 ‘Only One’의 플랫폼을 만드는 대체 불가능의 기업이 되기 위해 노력합니다.
함께 성장하며 파도를 일으킬 멋진 동료를 기다립니다!


■ Team History
- 설립 1년 만에 흑자 전환
- 서비스 런칭 3분기만에 6만개 수요고객 확보
- 2021년 12월 카카오 / KB 인베스트먼트 Pre-Series A 투자 유치
- 2023년 2월 다종 로봇 관제 제어 시스템 SOLink 런칭
- 2023년 3월 KB / 신한 / 미래에셋 / 위벤처스 / 에이스톤벤처스 Series-A 98억 투자 유치"|빅웨이브로보틱스|https://www.wanted.co.kr/wd/193154|https://static.wanted.co.kr/images/company/28086/uz3zvtjhjolgds5o__1080_790.jpg|"[혜택 및 복지]
•  점심 식대 하루 1만원 지급 (출근시)
•  명절 선물 + 생일 선물 지급
•  기본 연차 외 리프레시 휴가 5일 추가 부여
•  선택적 시간 근무 가능(오전 7시 ~ 오전 10시 출근, 월 1회 선택 후 고정)"||서비스 로봇 엔지니어 (신입~2년)|"• 기계공학, 메카트로닉스, 로봇 전공자 우대 
• 하드웨어, 엔지니어링 프로젝트 경험자 우대

[비고사항]
• 업무 특성상 주말 근무 및 연장 근무가 발생할 수 있습니다. (주말 근무시 대체 휴무 부여)
• 업무 특성상 지방 출장 가능성이 있습니다. (출장 경비 처리)"|"• 서비스로봇 설치, 로봇티칭, 고객지원
• 서비스로봇 라인업: 청소로봇, 서빙로봇, 안내로봇, 바리스타로봇, 교육로봇 등"|서울 강남구 역삼로 542|https://static.wanted.co.kr/images/wdes/0_4.fb709e3e.jpg|513|"• 신입 지원 가능
• 경력: 1~2년 (경력기술서 필수)
• 운전면허 소지자(운전 가능자)
• 군필자
• 학력: 초대졸 이상"|193154
"""건축의 미래를 IT로 설계하다""

2003년 설립된 국내 최초 IT건축 플랫폼 기업인 하우빌드는 “건축주가 신축을 하면서 당면하는 문제를 IT를 기반으로 혁신”하는 것에 집중을 하고 있습니다.
건축주들은 하우빌드 플랫폼 하나만 통하면 건축에 필요한 각종 법률 검토부터 기획설계, 견적준비, 건설사입찰, 공사관리, 공사대금 안전관리, 유지보수까지 전 과정에 필요한 관리 시스템을 온라인을 통해 원스톱으로 누릴 수 있습니다.

하우빌드의 성장 가치는 지속적으로 증명되어 오고 있습니다.

지난 2019년에 약 30억원의 시리즈 A 투자 유치를 시작으로 21년도에는 130억원에 달하는 시리즈 B 투자를 연이어 성공할 수 있게 하였습니다.
여기서 멈추지 않고 22년 초에 약 45억에 달하는 시리즈 B 브릿지 투자유치와 23년 상반기에는 15억 투자유치를 성공하여 총 투자유치금액이 220억원에 달하였습니다.

현재는, 생각의 다양성을 지향하며 수평적인 소통을 통해 더 나은 하우빌드를 설계 하고 있습니다.

하우빌드의 구성원들은 진취적이고 열정적인 멤버들이 모여 수평적으로 소통하고, 생각의 다양성을 지향하는 열린 사고로 일에 임합니다. 또한, ""틀""이 차지하는 비중을 최소화하며 불필요한 절차, 형식은 과감하게 생략하고 일의 본질에 집중합니다. 

이전에는 없었지만, 앞으로는 하우빌드만이 존재할 투명한 건축 시장에서 저희와 함께 성장하실 동료를 기다리고 있습니다. 
하우빌드와 함께 새롭고 가치 있는 도전을 함께하실 분들은 지금 바로 지원해주세요!"|하우빌드|https://www.wanted.co.kr/wd/193032|https://static.wanted.co.kr/images/company/11379/v1qfz0hy1es9ymbk__1080_790.jpg|"• 자율 출퇴근제도
    - 8시~11시 사이 출근 후 8시간 근무: 휴식 시간 1시간 제외
• 자율 재택근무/ 휴가제도
• 리프레시 휴가 지원
   - 3년 만근 시, 4주 유급 휴가
• 목표 달성 시 성과급 지급
• 법인카드 전원 지급
   - 점심 식대: 13,000원(재택 시에도 지원)
• 건강검진비 지원
    - 50만원 한도 내
• 스낵바 운영
   - 신청하는 모든 간식을 최대한 구비하도록 노력합니다!
• 야근교통비 지원
• 주차비 지원
• 업무에 필요한 교육, 세미나, 컨퍼런스 비용 지원


[전형 절차]

• 서류 전형 ＞ 직무 적합성 및 실무진 인터뷰  ＞ 문화 적합성 및 임원진 인터뷰 ＞  최종 합격  

   * 채용 절차 상, 경력직 지원자에 한하여 레퍼런스 체크가 별도로 진행될 수 있습니다.

   * 포지션별 커피챗, 역량 테스트가 진행 될 수 있으며, 이는 사전에 안내 드립니다."||BIM 건축 구조(신입)|"• 건축기사 자격증
• 컴퓨터 활용 능력(트윈모션, 렌더, 어도비)"|"[팀/직무 소개]

ㆍ신사업본부 Operation-Team
   - Revit, 적산 전문가가 함께 만들어 가며, 공사 견적 산출 방식의 진화를 이루어낸 FENDER* 서비스를 제공하고 발전하는 팀입니다.

     *FENDER, 어떤 제품인가요?
   
    - 더 빠르고 간편한 물량 산출 방식으로 견적 작업에 들어가는 시간과 수고로움을 압도적으로 줄이는 플랫폼
    - 온라인으로 직접 내/외장재를 변경하고 새로운 마감재를 공내역서에서 직접 변경할 수 있는 플랫폼
    - 시각적인 3D 모델링과 외장재 변경으로 건설사 수주 확률을 높여주는 플랫폼

[수행하실 직무]

   ①  FENDER 건축/구조 Revit 모델링(FENDER란? Howbuild 3D 모델링+공내역서)
   ② 자동화 Tool을 이용한 CAD 2D  3D Revit 모델링 제작
      - 규모 : 중소형 프로젝트   
      - 용도 : 근린생활시설, 주택, 공장 등
      - 구조 : RC조, 철골조"|강남구 삼성동 테헤란로 625 덕명빌딩 16층|https://static.wanted.co.kr/images/wdes/0_4.c289f024.png|513|"• 건축 관련 학과 졸업
• BIM 소프트웨어 활용 가능자(Revit, CAD)"|193032
"한화비전은 세계 최고 수준의 영상 기술을 기반으로 한 영상감시 외에 출입통제, 침임탐지 등 사업을 다각화하고 있습니다. 1991년 보안 카메라 출시를 시작으로 약 30여 년간 영상보안 사업에 집중하여 국내 영상보안 시장 점유율 1위를 유지하고 있으며, 글로벌 시장에서도 5,000개 이상의 네트워크를 구축, 전체 매출의 75%를 해외에서 거두며 활발한 영업 마케팅 활동을 펼치고 있습니다.

* Our team (오시게 될 팀을 소개해드려요) *

ACS팀은 신사업 진출 기반을 확보하고 한화비전의 또 다른 비전을 창출하기 위해 신설된 조직입니다. 
출입통제 전 제품의 회로 설계부터 양산이관까지 주관하는 팀이며, 미주/유럽/중동에 있는 한화비전 법인의 Project Management 팀과 긴밀한 협업을 통해 한화비전의 새로운 핵심 개발부서로 도약을 준비하고 있습니다.
ACS 팀은 다른 팀들과는 다르게 개발센터 직속으로 독립되어 운영될 만큼 한화비전 내에서 상당한 기대치를 부여 받은 조직이며, HW, SW 개발 파트가 한팀으로 구성되어 있고 구성원 모두가 수평적인 관계에서 명확한 역할을 통해 서로를 보완해 주며 업무를 하고 있습니다."|한화비전|https://www.wanted.co.kr/wd/193021|https://static.wanted.co.kr/images/company/23043/0p5cw6dypezzwyit__1080_790.jpg|"• 교통/출퇴근 : 자율출퇴근제
• 연금보험 : 국민연금(4대보험), 고용보험(4대보험), 산재보험(4대보험), 건강보험(4대보험), 퇴직연금
• 동호회 : 사내동호회 운영, 사내동호회 지원
• 회사분위기 : 인재육성 중시, 가족같은 분위기
• 의료/건강 : 건강검진
• 출산/육아 : 산전 후 휴가, 육아휴직, 남성출산휴가(아빠휴가)
• 의복관련 : 자유복장, 노 타이(Tie)
• 교육/훈련 : 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 사외교육 지원
• 휴일/휴가 : 연차, 경조휴가제, 반차, 아빠휴가, 안식월, 채움휴직(자기개발휴직)"||출입통제 회로설계 담당자|"• Candance Tool을 다룰 줄 아시는 
• 출입통제 업종에서 설계 경험이 있으신 분"|"• 출입통제 제품의 핵심인 Controller/Reader 회로 및 PCB 설계
  - 상용 SoC를 이용한 CPU, 주변 메모리 회로 설계 및 최적화 작업
  - CAD Tool 을 활용한 Master/Main Controller 회로 및 PCB 설계
  - Expansion In/Out Board 회로 및 PCB 설계
  - Reader 설계 및 Controller 와 호환성 검증
• 최적의 부품 선정 및 비교 평가를 통한 부품 소싱 업무
• 설계 제품의 HW 신뢰성 검증 및 품질 이슈 해결
• 개발 제품의 규격 인증 취득 지원 (cUL, CE, FCC, KC, VCCI, UL294 )"|경기도 성남시 분당구 판교로319번길|https://static.wanted.co.kr/images/wdes/0_4.811a27a6.png|513|"• 출입통제 시스템 구상 및 Controller/Reader 회로 설계를 3년 이상 경험하신 분
• 출입통제 시스템을 설치 및 운영을 통해 해당분야에 대한 이해를 갖추신 분
• 회로 및 PCB 설계를 위해 CAD ( 특히, Candance) 설계 역량을 보유하신 분
• 제품의 신뢰성 검증에 대한 이해를 갖추신 분 
• 각종 규격인증 취득을 경험하신 분

※ 관련 포트폴리오가 있으시다면 제출 요청드립니다 ※

• 깃헙, 노션 등 프로젝트가 정리된 자료
• 이 외 자신을 나타낼 수 있는 모든 기술 자료 제출 가능"|193021
